data,model,params,n,thread,iter,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,family,size
0_all,yolo12x,59.1,32,5,1,0.4031,0.7383,0.7299,0.6872,0.7079,1160,320,324,YOLOv12,large
0_all,yolo12x,59.1,128,5,1,0.5891,0.8701,0.9053,0.7832,0.8399,1160,262,67,YOLOv12,large
0_all,yolo12x,59.1,500,5,1,0.6391,0.9325,0.902,0.8828,0.8923,1160,118,122,YOLOv12,large
a1_t2s,yolo12x,59.1,32,5,1,0.0467,0.1291,0.3035,0.1523,0.2028,709,572,388,YOLOv12,large
a1_t2s,yolo12x,59.1,128,5,1,0.0891,0.1827,0.3822,0.2059,0.2676,709,531,428,YOLOv12,large
a1_t2s,yolo12x,59.1,500,5,1,0.1046,0.1998,0.4198,0.2144,0.2838,709,554,204,YOLOv12,large
a2_s2t,yolo12x,59.1,32,5,1,0.1832,0.4085,0.4893,0.4324,0.4591,451,212,292,YOLOv12,large
a2_s2t,yolo12x,59.1,128,5,1,0.2342,0.4318,0.664,0.4102,0.5071,451,273,61,YOLOv12,large
a2_s2t,yolo12x,59.1,500,5,1,0.3431,0.657,0.7181,0.6044,0.6564,451,164,117,YOLOv12,large
b_light,yolo12x,59.1,32,5,1,0.355,0.6315,0.7785,0.548,0.6432,436,198,54,YOLOv12,large
b_light,yolo12x,59.1,128,5,1,0.4792,0.7444,0.882,0.6399,0.7417,436,152,34,YOLOv12,large
b_light,yolo12x,59.1,500,5,1,0.5485,0.846,0.8659,0.7851,0.8235,436,85,69,YOLOv12,large
0_all,yolo11x,56.9,32,5,1,0.3806,0.6861,0.7896,0.6009,0.6824,1160,445,181,YOLOv11,large
0_all,yolo11x,56.9,128,5,1,0.5532,0.869,0.8954,0.7823,0.835,1160,216,130,YOLOv11,large
0_all,yolo11x,56.9,500,5,1,0.6238,0.93,0.9109,0.8405,0.8743,1160,123,161,YOLOv11,large
a1_t2s,yolo11x,56.9,32,5,1,0.0405,0.1106,0.2423,0.1453,0.1817,709,601,257,YOLOv11,large
a1_t2s,yolo11x,56.9,128,5,1,0.0954,0.2044,0.3742,0.183,0.2458,709,586,168,YOLOv11,large
a1_t2s,yolo11x,56.9,500,5,1,0.1062,0.1877,0.4622,0.1918,0.2711,709,554,228,YOLOv11,large
a2_s2t,yolo11x,56.9,32,5,1,0.1192,0.2692,0.3778,0.2705,0.3153,451,333,103,YOLOv11,large
a2_s2t,yolo11x,56.9,128,5,1,0.1833,0.3932,0.597,0.3503,0.4416,451,306,54,YOLOv11,large
a2_s2t,yolo11x,56.9,500,5,1,0.3191,0.5851,0.6971,0.5055,0.5861,451,206,96,YOLOv11,large
b_light,yolo11x,56.9,32,5,1,0.3659,0.6456,0.8005,0.5573,0.6571,436,195,43,YOLOv11,large
b_light,yolo11x,56.9,128,5,1,0.4656,0.7137,0.8939,0.5986,0.7171,436,165,36,YOLOv11,large
b_light,yolo11x,56.9,500,5,1,0.5366,0.8067,0.8931,0.7279,0.8021,436,112,34,YOLOv11,large
0_all,rtdetr-x,86.0,32,5,1,0.4443,0.7828,0.8145,0.7227,0.7659,1160,234,412,DETR,large
0_all,rtdetr-x,86.0,128,5,1,0.5765,0.8802,0.9191,0.8198,0.8666,1160,151,258,DETR,large
0_all,rtdetr-x,86.0,500,5,1,0.4417,0.7642,0.8578,0.6759,0.7561,1160,236,609,DETR,large
a1_t2s,rtdetr-x,86.0,32,5,1,0.1171,0.2139,0.4999,0.2116,0.2973,709,520,405,DETR,large
a1_t2s,rtdetr-x,86.0,128,5,1,0.1102,0.219,0.4986,0.213,0.2985,709,514,319,DETR,large
a1_t2s,rtdetr-x,86.0,500,5,1,0.1347,0.2367,0.5245,0.2355,0.3251,709,510,315,DETR,large
a2_s2t,rtdetr-x,86.0,32,5,1,0.2918,0.5852,0.7061,0.5539,0.6208,451,162,235,DETR,large
a2_s2t,rtdetr-x,86.0,128,5,1,0.3059,0.586,0.587,0.5829,0.5849,451,120,473,DETR,large
a2_s2t,rtdetr-x,86.0,500,5,1,0.2791,0.5338,0.656,0.4767,0.5522,451,136,744,DETR,large
b_light,rtdetr-x,86.0,32,5,1,0.4114,0.6982,0.8708,0.6284,0.73,436,126,163,DETR,large
b_light,rtdetr-x,86.0,128,5,1,0.4763,0.7449,0.8408,0.6835,0.754,436,99,296,DETR,large
b_light,rtdetr-x,86.0,500,5,1,0.5225,0.8296,0.8472,0.7477,0.7944,436,54,301,DETR,large
0_all,rtdetr-l,45.0,32,5,1,0.4857,0.7938,0.8099,0.7267,0.766,1160,217,691,DETR,small
0_all,rtdetr-l,45.0,128,5,1,0.5238,0.8404,0.8775,0.7654,0.8176,1160,175,430,DETR,small
0_all,rtdetr-l,45.0,500,5,1,0.6259,0.9283,0.9292,0.8526,0.8893,1160,79,367,DETR,small
a1_t2s,rtdetr-l,45.0,32,5,1,0.046,0.1024,0.2993,0.1142,0.1654,709,627,125,DETR,small
a1_t2s,rtdetr-l,45.0,128,5,1,0.1245,0.227,0.5854,0.2012,0.2994,709,529,229,DETR,small
a1_t2s,rtdetr-l,45.0,500,5,1,0.1619,0.2852,0.5674,0.2609,0.3575,709,484,290,DETR,small
a2_s2t,rtdetr-l,45.0,32,5,1,0.4144,0.6983,0.7897,0.591,0.676,451,85,935,DETR,small
a2_s2t,rtdetr-l,45.0,128,5,1,0.3596,0.6377,0.6895,0.5712,0.6248,451,113,510,DETR,small
a2_s2t,rtdetr-l,45.0,500,5,1,0.4624,0.754,0.8377,0.6982,0.7616,451,100,201,DETR,small
b_light,rtdetr-l,45.0,32,5,1,0.3868,0.6665,0.8655,0.5903,0.7019,436,158,79,DETR,small
b_light,rtdetr-l,45.0,128,5,1,0.4476,0.7525,0.8281,0.7064,0.7624,436,103,244,DETR,small
b_light,rtdetr-l,45.0,500,5,1,0.5412,0.8338,0.8225,0.8186,0.8205,436,49,568,DETR,small
0_all,yolo12n,2.6,32,5,1,0.4344,0.7563,0.7756,0.6828,0.7262,1160,347,212,YOLOv12,small
