config,family,n,pval,normal,var
0_all,YOLOv11,32,***,true,true
0_all,YOLOv11,128,ns,true,true
0_all,YOLOv11,500,***,true,true
0_all,YOLOv12,32,*,true,false
0_all,YOLOv12,128,*,true,true
0_all,YOLOv12,500,***,true,true
0_all,DETR,32,**,true,true
0_all,DETR,128,ns,false,N/A
0_all,DETR,500,ns,false,N/A
a1_t2s,YOLOv11,32,*,true,true
a1_t2s,YOLOv11,128,ns,true,true
a1_t2s,YOLOv11,500,**,true,true
a1_t2s,YOLOv12,32,ns,true,true
a1_t2s,YOLOv12,128,*,true,true
a1_t2s,YOLOv12,500,***,true,true
a1_t2s,DETR,32,ns,false,N/A
a1_t2s,DETR,128,ns,true,true
a1_t2s,DETR,500,ns,false,N/A
a2_s2t,YOLOv11,32,ns,true,true
a2_s2t,YOLOv11,128,**,true,true
a2_s2t,YOLOv11,500,***,true,false
a2_s2t,YOLOv12,32,ns,true,true
a2_s2t,YOLOv12,128,ns,true,true
a2_s2t,YOLOv12,500,**,true,true
a2_s2t,DETR,32,ns,true,true
a2_s2t,DETR,128,ns,true,true
a2_s2t,DETR,500,**,false,N/A
b_light,YOLOv11,32,***,true,true
b_light,YOLOv11,128,ns,true,true
b_light,YOLOv11,500,ns,true,true
b_light,YOLOv12,32,ns,true,true
b_light,YOLOv12,128,ns,true,true
b_light,YOLOv12,500,**,true,true
b_light,DETR,32,ns,true,true
b_light,DETR,128,*,false,N/A
b_light,DETR,500,**,false,N/A
