data,pretrain,model,params,n,thread,iter,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,family,size
e_IMU,True,yolo12x,59.1,16,5,1,0.319,0.6048,0.7277,0.4995,0.5924,808,428,100,YOLOv12,large
e_IMU,False,yolo12x,59.1,16,5,1,0.4183,0.7208,0.7726,0.6089,0.6811,808,325,80,YOLOv12,large
e_IMU,True,yolo12x,59.1,64,5,1,0.5023,0.7979,0.7799,0.7092,0.7429,808,238,115,YOLOv12,large
e_IMU,False,yolo12x,59.1,64,5,1,0.4939,0.7979,0.795,0.7178,0.7545,808,219,132,YOLOv12,large
e_IMU,True,yolo12x,59.1,200,5,1,0.5358,0.8524,0.8855,0.7463,0.81,808,152,155,YOLOv12,large
e_IMU,False,yolo12x,59.1,200,5,1,0.5347,0.8476,0.853,0.7686,0.8086,808,145,172,YOLOv12,large
e_VT,True,yolo12x,59.1,16,5,1,0.3398,0.6892,0.7361,0.6153,0.6703,408,105,254,YOLOv12,large
e_VT,False,yolo12x,59.1,16,5,1,0.4926,0.8136,0.8062,0.7279,0.7651,408,117,57,YOLOv12,large
e_VT,True,yolo12x,59.1,64,5,1,0.5245,0.8386,0.8547,0.7352,0.7904,408,111,40,YOLOv12,large
e_VT,False,yolo12x,59.1,64,5,1,0.56,0.8832,0.8573,0.826,0.8414,408,53,99,YOLOv12,large
e_VT,True,yolo12x,59.1,200,5,1,0.6189,0.8936,0.8528,0.8529,0.8529,408,65,53,YOLOv12,large
e_VT,False,yolo12x,59.1,200,5,1,0.6368,0.9122,0.8791,0.8505,0.8646,408,55,52,YOLOv12,large
e_IMU,True,yolo11x,56.9,16,5,1,0.1639,0.3854,0.4471,0.4554,0.4512,808,403,450,YOLOv11,large
e_IMU,False,yolo11x,56.9,16,5,1,0.3987,0.6862,0.785,0.5421,0.6413,808,405,72,YOLOv11,large
e_IMU,True,yolo11x,56.9,64,5,1,0.4822,0.8056,0.838,0.6844,0.7535,808,219,142,YOLOv11,large
e_IMU,False,yolo11x,56.9,64,5,1,0.4964,0.8141,0.7923,0.7317,0.7608,808,206,142,YOLOv11,large
e_IMU,True,yolo11x,56.9,200,5,1,0.5365,0.8607,0.8494,0.7677,0.8065,808,156,141,YOLOv11,large
e_IMU,False,yolo11x,56.9,200,5,1,0.54,0.8601,0.8422,0.7809,0.8104,808,143,167,YOLOv11,large
e_VT,True,yolo11x,56.9,16,5,1,0.3621,0.6616,0.7809,0.5242,0.6273,408,224,35,YOLOv11,large
e_VT,False,yolo11x,56.9,16,5,1,0.4713,0.7914,0.845,0.6789,0.7529,408,132,47,YOLOv11,large
e_VT,True,yolo11x,56.9,64,5,1,0.5193,0.8266,0.8369,0.7451,0.7883,408,104,46,YOLOv11,large
e_VT,False,yolo11x,56.9,64,5,1,0.5638,0.8631,0.8252,0.7917,0.8081,408,96,51,YOLOv11,large
e_VT,True,yolo11x,56.9,200,5,1,0.6129,0.8845,0.8781,0.8298,0.8532,408,65,50,YOLOv11,large
e_VT,False,yolo11x,56.9,200,5,1,0.6403,0.9137,0.8713,0.8676,0.8695,408,54,49,YOLOv11,large
