family,n,data,size,map5095,map5095,map50,map50,precision,precision,recall,recall
,,,,mean,std,mean,std,mean,std,mean,std
DETR,32,0_all,large,0.45272,0.023874179,0.768595,0.025504622,0.84775,0.036481769,0.694875,0.027059814
DETR,32,0_all,small,0.4717,0.018314648,0.785635,0.020050601,0.85028,0.026752641,0.715735,0.027992636
DETR,32,a1_t2s,large,0.091165,0.040628915,0.18868,0.07772057,0.433755,0.104792027,0.19901,0.071591009
DETR,32,a1_t2s,small,0.08542,0.02276446,0.1791,0.041859527,0.42514,0.087255556,0.18452,0.03708242
DETR,32,a2_s2t,large,0.29487,0.07032746,0.54967,0.097080564,0.68454,0.078489171,0.502635,0.086320451
DETR,32,a2_s2t,small,0.328395,0.056044273,0.60089,0.080357405,0.71267,0.068988993,0.53766,0.069508026
DETR,32,b_light,large,0.39562,0.029657192,0.67407,0.039531202,0.83099,0.038742495,0.607815,0.040894566
DETR,32,b_light,small,0.41055,0.030143141,0.693005,0.038379497,0.842105,0.032354801,0.619625,0.04567564
DETR,128,0_all,large,0.523715,0.055889442,0.83611,0.054964275,0.87341,0.042126363,0.75741,0.0633312
DETR,128,0_all,small,0.542055,0.019660847,0.860555,0.021399274,0.885845,0.01780838,0.787655,0.029677592
DETR,128,a1_t2s,large,0.113055,0.025455668,0.22259,0.047466297,0.450005,0.088954125,0.24379,0.046673907
DETR,128,a1_t2s,small,0.110185,0.02314952,0.211275,0.041941926,0.48184,0.074661188,0.214435,0.037998979
DETR,128,a2_s2t,large,0.32556,0.05724864,0.59937,0.072563896,0.69933,0.08648773,0.546125,0.061296689
DETR,128,a2_s2t,small,0.355655,0.050354976,0.634315,0.068703584,0.708085,0.068721438,0.57478,0.059660651
DETR,128,b_light,large,0.425555,0.051468677,0.697965,0.062274505,0.81249,0.049637654,0.63022,0.056794733
DETR,128,b_light,small,0.458325,0.016492259,0.74021,0.018560935,0.853285,0.031200005,0.66296,0.031299124
DETR,500,0_all,large,0.56061,0.08760343,0.860445,0.104704308,0.872545,0.073739859,0.787835,0.102829712
DETR,500,0_all,small,0.612585,0.016848154,0.91998,0.012532845,0.912495,0.01452832,0.84877,0.018747325
DETR,500,a1_t2s,large,0.14744,0.03231611,0.25989,0.052809797,0.517665,0.079898569,0.25804,0.043241298
DETR,500,a1_t2s,small,0.143845,0.021443475,0.25413,0.037664853,0.54388,0.066716601,0.24409,0.032494403
DETR,500,a2_s2t,large,0.399145,0.058482804,0.685805,0.077414669,0.772745,0.076837158,0.61684,0.063060367
DETR,500,a2_s2t,small,0.444755,0.041344986,0.733215,0.050987555,0.79315,0.060656405,0.652955,0.049439655
DETR,500,b_light,large,0.45681,0.07254005,0.744285,0.086687335,0.82361,0.056536061,0.666145,0.091505694
DETR,500,b_light,small,0.51687,0.019964023,0.799085,0.029968831,0.85366,0.032417286,0.72604,0.033843967
YOLOv11,32,0_all,large,0.407840909,0.021535766,0.716345455,0.025366396,0.806704545,0.031058784,0.624572727,0.032320054
YOLOv11,32,0_all,small,0.444395,0.02098364,0.76039,0.016992751,0.82176,0.024421246,0.66199,0.022961728
YOLOv11,32,a1_t2s,large,0.051045,0.017306204,0.120585,0.03400471,0.258045,0.084221197,0.125665,0.038495759
YOLOv11,32,a1_t2s,small,0.06415,0.018485172,0.14689,0.03419141,0.24788,0.099887766,0.130605,0.035614507
YOLOv11,32,a2_s2t,large,0.12439,0.024317936,0.29229,0.063274214,0.47318,0.062433641,0.28683,0.094472163
YOLOv11,32,a2_s2t,small,0.13811,0.034479558,0.30137,0.067527648,0.48416,0.081690999,0.282895,0.069159035
YOLOv11,32,b_light,large,0.35544,0.027053853,0.623975,0.037232412,0.795905,0.038337071,0.538595,0.045791685
YOLOv11,32,b_light,small,0.39022,0.025001149,0.67346,0.023336269,0.80484,0.031972034,0.58176,0.028801067
YOLOv11,128,0_all,large,0.57452,0.014435213,0.867515,0.009698414,0.89923,0.017630569,0.77129,0.018716694
YOLOv11,128,0_all,small,0.566505,0.013663916,0.87485,0.010943756,0.895775,0.014979631,0.787615,0.014054715
YOLOv11,128,a1_t2s,large,0.09337,0.021709472,0.186275,0.034105639,0.392805,0.071616085,0.164415,0.026828329
YOLOv11,128,a1_t2s,small,0.103055,0.017252535,0.207045,0.027547385,0.43091,0.081646561,0.18051,0.028395328
YOLOv11,128,a2_s2t,large,0.2104,0.038713958,0.42592,0.063878582,0.60651,0.087118751,0.387175,0.05469167
YOLOv11,128,a2_s2t,small,0.245065,0.037897817,0.472055,0.062695635,0.65065,0.050241852,0.425885,0.056082189
YOLOv11,128,b_light,large,0.477945,0.014660634,0.73816,0.018184736,0.869465,0.021094731,0.63818,0.023969797
YOLOv11,128,b_light,small,0.488065,0.017411227,0.771955,0.018585407,0.872925,0.020070058,0.6871,0.030049591
YOLOv11,500,0_all,large,0.63566,0.008240938,0.93199,0.005137366,0.919025,0.011063019,0.86424,0.011368211
YOLOv11,500,0_all,small,0.619785,0.006331066,0.926585,0.004779812,0.90984,0.011775908,0.85607,0.011855494
YOLOv11,500,a1_t2s,large,0.104655,0.013585498,0.19188,0.020097803,0.41253,0.051085883,0.19259,0.018443681
YOLOv11,500,a1_t2s,small,0.11737,0.0154122,0.22169,0.026161319,0.46522,0.069294532,0.20964,0.029689062
YOLOv11,500,a2_s2t,large,0.290455,0.041543731,0.54071,0.056122834,0.662605,0.068394332,0.479775,0.048936585
YOLOv11,500,a2_s2t,small,0.337555,0.029744004,0.612285,0.043300617,0.728005,0.047754035,0.546865,0.040490535
YOLOv11,500,b_light,large,0.533145,0.013090996,0.816595,0.017904556,0.88027,0.02847104,0.725785,0.026260983
