family,n,data,size,pretrain,map5095,map5095,map50,map50,precision,precision,recall,recall,
,,,,,mean,std,mean,std,mean,std,mean,std,
DETR,16,e_IMU,large,FALSE,0.401081356,0.031147566,0.755459322,0.035196087,0.799057627,0.040782282,0.685940678,0.034685151,
DETR,16,e_IMU,large,TRUE,0.374498305,0.035854022,0.713766102,0.049600047,0.775081356,0.037528777,0.649022034,0.0476043,
DETR,16,e_IMU,small,FALSE,0.4004875,0.024201165,0.748560714,0.032085798,0.803303571,0.029012298,0.679517857,0.03304095,
DETR,16,e_IMU,small,TRUE,0.379635714,0.031579374,0.722503571,0.041134909,0.779666071,0.041113312,0.660383929,0.038427177,
DETR,16,e_VT,large,FALSE,0.491226786,0.022761191,0.817214286,0.022608071,0.824346429,0.030692255,0.736035714,0.033333524,
DETR,16,e_VT,large,TRUE,0.403325,0.033514091,0.723619643,0.039042426,0.791760714,0.041249431,0.653648214,0.045956086,
DETR,16,e_VT,small,FALSE,0.489319643,0.022296175,0.817298214,0.023061755,0.814323214,0.029813261,0.734132143,0.033337956,
DETR,16,e_VT,small,TRUE,0.423901786,0.022545989,0.755725,0.028464519,0.800369643,0.041001853,0.680367857,0.036882349,
DETR,64,e_IMU,large,FALSE,0.47564,0.012033523,0.824715,0.014378832,0.843595,0.031517873,0.747815,0.023394967,
DETR,64,e_IMU,large,TRUE,0.44561,0.02532496,0.79053,0.033827225,0.82879,0.025439193,0.71144,0.041517623,
DETR,64,e_IMU,small,FALSE,0.462563158,0.021390372,0.812710526,0.023154647,0.838926316,0.022949748,0.736752632,0.026807987,
DETR,64,e_IMU,small,TRUE,0.4671,0.016719084,0.815952632,0.018381131,0.849531579,0.019921626,0.739973684,0.024414223,
DETR,64,e_VT,large,FALSE,0.542852632,0.018142656,0.865347368,0.019697162,0.842457895,0.026894017,0.786584211,0.029305939,
DETR,64,e_VT,large,TRUE,0.4841,0.038010082,0.805205,0.034306168,0.843385,0.035743299,0.720715,0.046579748,
DETR,64,e_VT,small,FALSE,0.546726316,0.01411425,0.875757895,0.016078395,0.854668421,0.023860382,0.795205263,0.023557506,
DETR,64,e_VT,small,TRUE,0.519942105,0.011844376,0.844173684,0.016564951,0.846547368,0.02733515,0.784736842,0.0235165,
DETR,200,e_IMU,large,FALSE,0.51817,0.016472692,0.86167,0.011003354,0.876315,0.015398711,0.77621,0.016624487,0.00017
DETR,200,e_IMU,large,TRUE,0.518,0.016810085,0.855485,0.01645988,0.85936,0.026958904,0.77726,0.024638361,
DETR,200,e_IMU,small,FALSE,0.517378947,0.02264098,0.859326316,0.024186058,0.862078947,0.026752063,0.775636842,0.023486431,-0.004221053
