config,family,size,n,pval,normal,var
e_IMU,YOLOv11,small,16,***,true,true
e_IMU,YOLOv11,small,64,ns,true,true
e_IMU,YOLOv11,small,200,ns,true,true
e_IMU,YOLOv11,large,16,***,false,N/A
e_IMU,YOLOv11,large,64,ns,true,true
e_IMU,YOLOv11,large,200,*,false,N/A
e_IMU,YOLOv12,small,16,***,false,N/A
e_IMU,YOLOv12,small,64,ns,true,true
e_IMU,YOLOv12,small,200,**,true,true
e_IMU,YOLOv12,large,16,***,true,true
e_IMU,YOLOv12,large,64,*,true,true
e_IMU,YOLOv12,large,200,ns,false,N/A
e_IMU,DETR,small,16,***,false,N/A
e_IMU,DETR,small,64,ns,false,N/A
e_IMU,DETR,small,200,ns,false,N/A
e_IMU,DETR,large,16,***,false,N/A
e_IMU,DETR,large,64,***,false,N/A
e_IMU,DETR,large,200,ns,false,N/A
e_VT,YOLOv11,small,16,***,false,N/A
e_VT,YOLOv11,small,64,***,true,true
e_VT,YOLOv11,small,200,ns,true,true
e_VT,YOLOv11,large,16,***,true,true
e_VT,YOLOv11,large,64,***,true,false
e_VT,YOLOv11,large,200,**,true,true
e_VT,YOLOv12,small,16,***,true,true
e_VT,YOLOv12,small,64,***,true,true
e_VT,YOLOv12,small,200,*,true,true
e_VT,YOLOv12,large,16,***,true,false
e_VT,YOLOv12,large,64,***,false,N/A
e_VT,YOLOv12,large,200,***,false,N/A
e_VT,DETR,small,16,***,true,true
e_VT,DETR,small,64,***,true,true
e_VT,DETR,small,200,*,true,true
e_VT,DETR,large,16,***,false,N/A
e_VT,DETR,large,64,***,false,N/A
e_VT,DETR,large,200,**,false,N/A
