mem,n,model,family,size,params
25.6,32,yolo12x,YOLOv12,large,59.1
26.9,128,yolo12x,YOLOv12,large,59.1
28.3,500,yolo12x,YOLOv12,large,59.1
26.0,32,yolo12x,YOLOv12,large,59.1
26.9,128,yolo12x,YOLOv12,large,59.1
28.2,500,yolo12x,YOLOv12,large,59.1
25.6,32,yolo12x,YOLOv12,large,59.1
27.0,128,yolo12x,YOLOv12,large,59.1
28.3,500,yolo12x,YOLOv12,large,59.1
25.7,32,yolo12x,YOLOv12,large,59.1
26.3,128,yolo12x,YOLOv12,large,59.1
27.9,500,yolo12x,YOLOv12,large,59.1
17.1,32,yolo11x,YOLOv11,large,56.9
17.7,128,yolo11x,YOLOv11,large,56.9
19.4,500,yolo11x,YOLOv11,large,56.9
17.2,32,yolo11x,YOLOv11,large,56.9
17.7,128,yolo11x,YOLOv11,large,56.9
19.4,500,yolo11x,YOLOv11,large,56.9
17.2,32,yolo11x,YOLOv11,large,56.9
17.7,128,yolo11x,YOLOv11,large,56.9
19.4,500,yolo11x,YOLOv11,large,56.9
17.1,32,yolo11x,YOLOv11,large,56.9
17.7,128,yolo11x,YOLOv11,large,56.9
19.4,500,yolo11x,YOLOv11,large,56.9
27.5,32,rtdetr-x,DETR,large,86.0
33.0,128,rtdetr-x,DETR,large,86.0
34.2,500,rtdetr-x,DETR,large,86.0
27.3,32,rtdetr-x,DETR,large,86.0
33.2,128,rtdetr-x,DETR,large,86.0
34.8,500,rtdetr-x,DETR,large,86.0
27.2,32,rtdetr-x,DETR,large,86.0
32.8,128,rtdetr-x,DETR,large,86.0
33.9,500,rtdetr-x,DETR,large,86.0
27.5,32,rtdetr-x,DETR,large,86.0
33.1,128,rtdetr-x,DETR,large,86.0
34.7,500,rtdetr-x,DETR,large,86.0
20.9,32,rtdetr-l,DETR,small,45.0
25.5,128,rtdetr-l,DETR,small,45.0
26.9,500,rtdetr-l,DETR,small,45.0
22.4,32,rtdetr-l,DETR,small,45.0
25.3,128,rtdetr-l,DETR,small,45.0
27.7,500,rtdetr-l,DETR,small,45.0
20.5,32,rtdetr-l,DETR,small,45.0
24.6,128,rtdetr-l,DETR,small,45.0
25.2,500,rtdetr-l,DETR,small,45.0
21.9,32,rtdetr-l,DETR,small,45.0
25.3,128,rtdetr-l,DETR,small,45.0
27.3,500,rtdetr-l,DETR,small,45.0
6.46,32,yolo12n,YOLOv12,small,2.6
8.16,128,yolo12n,YOLOv12,small,2.6
8.41,500,yolo12n,YOLOv12,small,2.6
5.23,32,yolo12n,YOLOv12,small,2.6
6.71,128,yolo12n,YOLOv12,small,2.6
7.24,500,yolo12n,YOLOv12,small,2.6
7.07,32,yolo12n,YOLOv12,small,2.6
8.83,128,yolo12n,YOLOv12,small,2.6
9.17,500,yolo12n,YOLOv12,small,2.6
7.16,32,yolo12n,YOLOv12,small,2.6
8.74,128,yolo12n,YOLOv12,small,2.6
8.87,500,yolo12n,YOLOv12,small,2.6
4.99,32,yolo11n,YOLOv11,small,2.6
6.4,128,yolo11n,YOLOv11,small,2.6
6.75,500,yolo11n,YOLOv11,small,2.6
3.82,32,yolo11n,YOLOv11,small,2.6
4.73,128,yolo11n,YOLOv11,small,2.6
5.24,500,yolo11n,YOLOv11,small,2.6
5.46,32,yolo11n,YOLOv11,small,2.6
6.9,128,yolo11n,YOLOv11,small,2.6
7.07,500,yolo11n,YOLOv11,small,2.6
5.68,32,yolo11n,YOLOv11,small,2.6
6.94,128,yolo11n,YOLOv11,small,2.6
7.02,500,yolo11n,YOLOv11,small,2.6
