model,thread,median,filename,family,size,gpu,params
yolo12x,0,5.221078157424927,study1/thread_0/0_all_yolo12x_128/iter_1/events.out,YOLOv12,large,a100 (80GB),59.1
yolo12x,1,5.343491435050964,study1/thread_1/0_all_yolo12x_128/iter_1/events.out,YOLOv12,large,a100 (80GB),59.1
yolo12x,2,5.312508583068848,study1/thread_2/0_all_yolo12x_128/iter_1/events.out,YOLOv12,large,a100 (80GB),59.1
yolo12x,3,5.210836172103882,study1/thread_3/0_all_yolo12x_128/iter_1/events.out,YOLOv12,large,a100 (80GB),59.1
yolo12x,4,5.234776854515076,study1/thread_4/0_all_yolo12x_128/iter_1/events.out,YOLOv12,large,a100 (80GB),59.1
yolo12x,5,5.333815574645996,study1/thread_5/0_all_yolo12x_128/iter_1/events.out,YOLOv12,large,l40s (48GB),59.1
yolo12x,6,5.319082498550415,study1/thread_6/0_all_yolo12x_128/iter_1/events.out,YOLOv12,large,l40s (48GB),59.1
yolo12x,7,5.303690791130066,study1/thread_7/0_all_yolo12x_128/iter_1/events.out,YOLOv12,large,l40s (48GB),59.1
yolo12x,8,5.225212812423706,study1/thread_8/0_all_yolo12x_128/iter_1/events.out,YOLOv12,large,l40s (48GB),59.1
yolo12x,9,5.284210681915283,study1/thread_9/0_all_yolo12x_128/iter_1/events.out,YOLOv12,large,l40s (48GB),59.1
yolo11x,0,4.066142797470093,study1/thread_0/0_all_yolo11x_128/iter_1/events.out,YOLOv11,large,a100 (80GB),56.9
yolo11x,1,4.032140493392944,study1/thread_1/0_all_yolo11x_128/iter_1/events.out,YOLOv11,large,a100 (80GB),56.9
yolo11x,2,4.1782546043396,study1/thread_2/0_all_yolo11x_128/iter_1/events.out,YOLOv11,large,a100 (80GB),56.9
yolo11x,3,4.112082004547119,study1/thread_3/0_all_yolo11x_128/iter_1/events.out,YOLOv11,large,a100 (80GB),56.9
yolo11x,4,4.318287372589111,study1/thread_4/0_all_yolo11x_128/iter_1/events.out,YOLOv11,large,a100 (80GB),56.9
yolo11x,5,3.8106656074523926,study1/thread_5/0_all_yolo11x_128/iter_1/events.out,YOLOv11,large,l40s (48GB),56.9
yolo11x,6,3.8218541145324707,study1/thread_6/0_all_yolo11x_128/iter_1/events.out,YOLOv11,large,l40s (48GB),56.9
yolo11x,7,3.7947773933410645,study1/thread_7/0_all_yolo11x_128/iter_1/events.out,YOLOv11,large,l40s (48GB),56.9
yolo11x,8,3.7367377281188965,study1/thread_8/0_all_yolo11x_128/iter_1/events.out,YOLOv11,large,l40s (48GB),56.9
yolo11x,9,3.7806460857391357,study1/thread_9/0_all_yolo11x_128/iter_1/events.out,YOLOv11,large,l40s (48GB),56.9
rtdetr-x,0,5.313573241233826,study1/thread_0/0_all_rtdetr-x_128/iter_1/events.out,DETR,large,a100 (80GB),86.0
rtdetr-x,1,5.618369221687317,study1/thread_1/0_all_rtdetr-x_128/iter_1/events.out,DETR,large,a100 (80GB),86.0
rtdetr-x,2,5.289716958999634,study1/thread_2/0_all_rtdetr-x_128/iter_1/events.out,DETR,large,a100 (80GB),86.0
rtdetr-x,3,5.401068687438965,study1/thread_3/0_all_rtdetr-x_128/iter_1/events.out,DETR,large,a100 (80GB),86.0
rtdetr-x,4,5.35189688205719,study1/thread_4/0_all_rtdetr-x_128/iter_1/events.out,DETR,large,a100 (80GB),86.0
rtdetr-x,5,5.175279140472412,study1/thread_5/0_all_rtdetr-x_128/iter_1/events.out,DETR,large,l40s (48GB),86.0
rtdetr-x,6,5.160865783691406,study1/thread_6/0_all_rtdetr-x_128/iter_1/events.out,DETR,large,l40s (48GB),86.0
rtdetr-x,7,4.967742681503296,study1/thread_7/0_all_rtdetr-x_128/iter_1/events.out,DETR,large,l40s (48GB),86.0
rtdetr-x,8,5.119602560997009,study1/thread_8/0_all_rtdetr-x_128/iter_1/events.out,DETR,large,l40s (48GB),86.0
rtdetr-x,9,5.2816431522369385,study1/thread_9/0_all_rtdetr-x_128/iter_1/events.out,DETR,large,l40s (48GB),86.0
rtdetr-l,0,3.668609619140625,study1/thread_0/0_all_rtdetr-l_128/iter_1/events.out,DETR,small,a100 (80GB),45.0
rtdetr-l,1,3.647666335105896,study1/thread_1/0_all_rtdetr-l_128/iter_1/events.out,DETR,small,a100 (80GB),45.0
rtdetr-l,2,3.524279832839966,study1/thread_2/0_all_rtdetr-l_128/iter_1/events.out,DETR,small,a100 (80GB),45.0
rtdetr-l,3,3.4859193563461304,study1/thread_3/0_all_rtdetr-l_128/iter_1/events.out,DETR,small,a100 (80GB),45.0
rtdetr-l,4,3.477541923522949,study1/thread_4/0_all_rtdetr-l_128/iter_1/events.out,DETR,small,a100 (80GB),45.0
rtdetr-l,5,3.2625032663345337,study1/thread_5/0_all_rtdetr-l_128/iter_1/events.out,DETR,small,l40s (48GB),45.0
rtdetr-l,6,3.2808618545532227,study1/thread_6/0_all_rtdetr-l_128/iter_1/events.out,DETR,small,l40s (48GB),45.0
rtdetr-l,7,3.1113743782043457,study1/thread_7/0_all_rtdetr-l_128/iter_1/events.out,DETR,small,l40s (48GB),45.0
rtdetr-l,8,3.2574188709259033,study1/thread_8/0_all_rtdetr-l_128/iter_1/events.out,DETR,small,l40s (48GB),45.0
rtdetr-l,9,3.378361463546753,study1/thread_9/0_all_rtdetr-l_128/iter_1/events.out,DETR,small,l40s (48GB),45.0
yolo12n,0,1.1331651210784912,study1/thread_0/0_all_yolo12n_128/iter_1/events.out,YOLOv12,small,a100 (80GB),2.6
yolo12n,1,1.2337863445281982,study1/thread_1/0_all_yolo12n_128/iter_1/events.out,YOLOv12,small,a100 (80GB),2.6
yolo12n,2,1.127303123474121,study1/thread_2/0_all_yolo12n_128/iter_1/events.out,YOLOv12,small,a100 (80GB),2.6
yolo12n,3,1.1255708932876587,study1/thread_3/0_all_yolo12n_128/iter_1/events.out,YOLOv12,small,a100 (80GB),2.6
yolo12n,4,1.2238388061523438,study1/thread_4/0_all_yolo12n_128/iter_1/events.out,YOLOv12,small,a100 (80GB),2.6
yolo12n,5,0.8320884704589844,study1/thread_5/0_all_yolo12n_128/iter_1/events.out,YOLOv12,small,l40s (48GB),2.6
yolo12n,6,0.8274261951446533,study1/thread_6/0_all_yolo12n_128/iter_1/events.out,YOLOv12,small,l40s (48GB),2.6
yolo12n,7,0.8159990310668945,study1/thread_7/0_all_yolo12n_128/iter_1/events.out,YOLOv12,small,l40s (48GB),2.6
yolo12n,8,0.8140177726745605,study1/thread_8/0_all_yolo12n_128/iter_1/events.out,YOLOv12,small,l40s (48GB),2.6
yolo12n,9,0.8260797262191772,study1/thread_9/0_all_yolo12n_128/iter_1/events.out,YOLOv12,small,l40s (48GB),2.6
yolo11n,0,0.9275509119033813,study1/thread_0/0_all_yolo11n_128/iter_1/events.out,YOLOv11,small,a100 (80GB),2.6
yolo11n,1,0.9748694896697998,study1/thread_1/0_all_yolo11n_128/iter_1/events.out,YOLOv11,small,a100 (80GB),2.6
yolo11n,2,0.9916861057281494,study1/thread_2/0_all_yolo11n_128/iter_1/events.out,YOLOv11,small,a100 (80GB),2.6
yolo11n,3,0.9850189685821533,study1/thread_3/0_all_yolo11n_128/iter_1/events.out,YOLOv11,small,a100 (80GB),2.6
yolo11n,4,0.9571065902709961,study1/thread_4/0_all_yolo11n_128/iter_1/events.out,YOLOv11,small,a100 (80GB),2.6
yolo11n,5,0.6320340633392334,study1/thread_5/0_all_yolo11n_128/iter_1/events.out,YOLOv11,small,l40s (48GB),2.6
yolo11n,6,0.6148641109466553,study1/thread_6/0_all_yolo11n_128/iter_1/events.out,YOLOv11,small,l40s (48GB),2.6
yolo11n,7,0.6019008159637451,study1/thread_7/0_all_yolo11n_128/iter_1/events.out,YOLOv11,small,l40s (48GB),2.6
